planet_name,host_star,Number_of_stars,Number_of_planets,discovery_method,Discover_year,Discovery_facility,orbit_period_days,planet_radius_earth,planet_mass_earth,Planet_temperature,Orbital_shape,Distance_from_host_star,Host_star_temp,Host_star_radius,Host_star_mass,Host_star_age,Distance_from_earth,planet_type,habitable_zone_flag,multi_planet_system,Recent_discovery,Distance_category,star_type,Orbit_category
Kepler-92 c,Kepler-92,1,3,Transit,2013.0,Kepler,26.723,2.6,6.1,781.0,0.04,0.19054,5883.0,1.7,1.21,3.98,477.992,Mini-Neptune,No,Yes,False,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
Kepler-1635 b,Kepler-1635,1,1,Transit,2016.0,Kepler,469.63111,3.64,12.9,200.0,0.0,1.12664,5347.0,0.85,0.89,4.9,1069.45,Neptune-like,Yes,No,False,Far(500-2kpc),G-type(Sun-like),Very-Long(365d+)
Kepler-667 b,Kepler-667,1,1,Transit,2016.0,Kepler,41.43962808,4.73,20.1,516.0,0.0,0.2288,5327.0,0.87,0.91,4.68,2302.45,Neptune-like,No,No,False,Distant(2k+pc),G-type(Sun-like),Medium(10-100d)
Kepler-1709 b,Kepler-1709,1,1,Transit,2021.0,Kepler,65.70459747,3.12424875,9.93,472.0,0.0,0.32704,5918.0,1.043,1.003,2.34,273.946,Mini-Neptune,No,No,True,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
K2-158 c,K2-158,1,2,Transit,2018.0,K2,5.90279,1.28,2.18,948.0,0.0,0.0622,5503.0,0.95,0.92,3.98,197.299,Super-Earth,No,Yes,False,Mid(100-500pc),G-type(Sun-like),Short(1-10d)
EPIC 220674823 b,EPIC 220674823,1,2,Transit,2016.0,K2,0.5713127,1.676,7.8,2299.0,0.0,0.01314,5578.0,0.99,0.913,7.5,244.59,Super-Earth,No,Yes,False,Mid(100-500pc),G-type(Sun-like),Ultra-Short(<1d)
Kepler-167 b,Kepler-167,2,4,Transit,2014.0,Kepler,4.3931539,1.718,3.6,918.0,0.0,0.04825,4884.0,0.749,0.777,7.1,341.908,Super-Earth,No,Yes,False,Mid(100-500pc),K-type,Short(1-10d)
Kepler-127 c,Kepler-127,1,3,Transit,2014.0,Kepler,29.393195,2.66,7.56,698.0,0.03,0.2,6106.0,1.359,1.248,2.69,352.794,Mini-Neptune,No,Yes,False,Mid(100-500pc),F-type,Medium(10-100d)
Kepler-111 c,Kepler-111,1,2,Transit,2014.0,Kepler,224.77833,7.0840758,222.4798849,352.2,0.176,0.751,5914.0,1.145,1.118,3.4,657.223,Gas Giant,Yes,Yes,False,Far(500-2kpc),G-type(Sun-like),Long(100-365d)
Kepler-890 b,Kepler-890,1,1,Transit,2016.0,Kepler,52.75875577,8.89,58.6,540.0,0.0,0.2944,5954.0,1.13,1.09,3.63,1712.12,Gas Giant,No,No,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
